team,DPOY
2025 Cleveland Cavaliers,1
2024 Minnesota Timberwolves,1
2023 Memphis Grizzlies,1
2022 Boston Celtics,1
2021 Utah Jazz,1
2020 Milwaukee Bucks,1
2019 Utah Jazz,1
2018 Utah Jazz,1
2017 Golden State Warriors,1
2016 San Antonio Spurs,1
2015 San Antonio Spurs,1
2014 Chicago Bulls,1
2013 Memphis Grizzlies,1
2012 New York Knicks,1
2011 Orlando Magic,1
2010 Orlando Magic,1
2009 Orlando Magic,1
2008 Boston Celtics,1
2007 Denver Nuggets,1
2006 Detroit Pistons,1
2005 Detroit Pistons,1
2004 Indiana Pacers,1
2003 Detroit Pistons,1
2002 Detroit Pistons,1
2001 Philadelphia 76ers,1
2000 Miami Heat,1
1999 Miami Heat,1
1998 Atlanta Hawks,1
1997 Atlanta Hawks,1
1996 Seattle SuperSonics,1
1995 Denver Nuggets,1
1994 Houston Rockets,1
1993 Houston Rockets,1
1992 San Antonio Spurs,1
1991 Detroit Pistons,1
1990 Detroit Pistons,1
1989 Utah Jazz,1
1988 Chicago Bulls,1
1987 Los Angeles Lakers,1
1986 San Antonio Spurs,1
1985 Utah Jazz,1
1984 Milwaukee Bucks,1
