team,MVP
2025 Oklahoma City Thunder,1
2024 Denver Nuggets,1
2023 Philadelphia 76ers,1
2022 Denver Nuggets,1
2021 Denver Nuggets,1
2020 Milwaukee Bucks,1
2019 Milwaukee Bucks,1
2018 Houston Rockets,1
2017 Oklahoma City Thunder,1
2016 Golden State Warriors,1
2015 Golden State Warriors,1
2014 Oklahoma City Thunder,1
2013 Miami Heat,1
2012 Miami Heat,1
2011 Chicago Bulls,1
2010 Cleveland Cavaliers,1
2009 Cleveland Cavaliers,1
2008 Los Angeles Lakers,1
2007 Dallas Mavericks,1
2006 Phoenix Suns,1
2005 Phoenix Suns,1
2004 Minnesota Timberwolves,1
2003 San Antonio Spurs,1
2002 San Antonio Spurs,1
2001 Philadelphia 76ers,1
2000 Los Angeles Lakers,1
1999 Utah Jazz,1
1998 Chicago Bulls,1
1997 Utah Jazz,1
1996 Chicago Bulls,1
1995 San Antonio Spurs,1
1994 Houston Rockets,1
1993 Phoenix Suns,1
1992 Chicago Bulls,1
1991 Chicago Bulls,1
1990 Los Angeles Lakers,1
1989 Los Angeles Lakers,1
1988 Chicago Bulls,1
1987 Los Angeles Lakers,1
1986 Boston Celtics,1
1985 Boston Celtics,1
1984 Boston Celtics,1
